platform,product_id,title,brand,category,current_price,original_price,discount,rating,reviews_count,availability,seller,express_delivery,platform_badge,sponsored,main_image,all_images,description,weight,dimensions,model_number,country_of_origin,warranty,tech_specs,variations,ships_from,delivery_date,product_url,scraped_at
amazon,B0F1ZFS8KK,El Rawda Lighting - Elegant Gold Metal Table Lamp with Unique Fabric Shade - RL-TL-B-065,,Lighting,EGP 257.00,EGP 374.00,,4.5,List:,,,,,,https://m.media-amazon.com/images/I/615EIPZgvQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/615EIPZgvQL._AC_UL320_.jpg,,,,,,,,,,,https://www.amazon.eg/dp/B0F1ZFS8KK,2026-03-28T17:19:37.001552
amazon,B0F1ZDR8M1,El Rawda Lighting - Elegant Beige Metal Table Lamp with Unique Fabric Shade - RL-TL-B-043,,Lighting,EGP 344.00,,,4.0,,,,,,,https://m.media-amazon.com/images/I/71s1dygkaQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71s1dygkaQL._AC_UL320_.jpg,,,,,,,,,,,https://www.amazon.eg/dp/B0F1ZDR8M1,2026-03-28T17:19:37.002175
amazon,B09QFLZ43Y,"Sunset Projection, 16 Colors with Remote Control, 360 Degree Rotation LED Projection Night Light for Photography/Party/Home/Decor",,Lighting,EGP 329.50,EGP 338.50,Save 3%,4.2,Was:,,,,,,https://m.media-amazon.com/images/I/711geJzUmXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/711geJzUmXL._AC_UL320_.jpg,,,,,,,,,,,https://www.amazon.eg/dp/B09QFLZ43Y,2026-03-28T17:19:37.002844
amazon,B0F1ZG1D91,El Rawda Lighting - Elegant Beige Metal Table Lamp with Unique Fabric Shade - RL-TL-B-049,,Lighting,EGP 282.07,,,4.1,,,,,,,https://m.media-amazon.com/images/I/71m3g+cBhnL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71m3g+cBhnL._AC_UL320_.jpg,,,,,,,,,,,https://www.amazon.eg/dp/B0F1ZG1D91,2026-03-28T17:19:37.003404
amazon,B09PG28116,"Xubialo Crystal Light Lamp Color Changing Lamps Table Lamp with Touch & Remote Control, Diamond LED Night Light Rechargeable Rose Romantic Date Lighting Decor for Festival, Home, Restaurant, Bar",,Lighting,EGP 160.00,EGP 224.00,,4.1,List:,,,,,,https://m.media-amazon.com/images/I/81Tsr-WghYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Tsr-WghYL._AC_UL320_.jpg,,,,,,,,,,,https://www.amazon.eg/dp/B09PG28116,2026-03-28T17:19:37.004017
amazon,B08W3CZK88,"DPISZONE Romantic Sky Star Master Night Light Projector Children Kids Baby Sleep Lighting USB Lamp Led Projection Best Gift for Diwali, Birthday, Christmas (Multi Color - Star Moon Lamp)",,Lighting,EGP 137.00,,,3.5,,,,,,,https://m.media-amazon.com/images/I/61qu2ATPeRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61qu2ATPeRL._AC_UL320_.jpg,,,,,,,,,,,https://www.amazon.eg/dp/B08W3CZK88,2026-03-28T17:19:37.004597
amazon,B0F1ZG3VCC,El Rawda Lighting - Elegant Gray Metal Table Lamp with Unique Fabric Shade - RL-TL-B-039,,Lighting,EGP 284.69,,,4.0,,,,,,,https://m.media-amazon.com/images/I/818dS36NNfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818dS36NNfL._AC_UL320_.jpg,,,,,,,,,,,https://www.amazon.eg/dp/B0F1ZG3VCC,2026-03-28T17:19:37.005185
amazon,B0DWM7XF85,"USB Sunset Projection Lamp – Warm Light Decorative Light for Bedroom, Salon, Photography – Flexible and Adjustable for Perfect Lighting (Yellow)",,Lighting,EGP 236.55,EGP 249.00,,4.5,Was:,,,,,,https://m.media-amazon.com/images/I/71Nnt5nPXlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Nnt5nPXlL._AC_UL320_.jpg,,,,,,,,,,,https://www.amazon.eg/dp/B0DWM7XF85,2026-03-28T17:19:37.005847
amazon,B0GKX4VZ2Y,TECHZONE LED Decorative Plug-In Lamp – Long LED Ambient Light with Durable Reinforced Design for Home & Bedroom Lighting (RGB),,Lighting,EGP 249.00,,,2.4,,,,,,,https://m.media-amazon.com/images/I/41zRXhXgFVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/41zRXhXgFVL._AC_UL320_.jpg,,,,,,,,,,,https://www.amazon.eg/dp/B0GKX4VZ2Y,2026-03-28T17:19:37.006422
amazon,B0BW5YB76V,"LED Dimmable Desk Lamp With 5 Lighting Colour Modes, 15-100% Brightness Levels, Timer & Touchable Control, USB Port - Reading Light for Children, Learning, Office, Work, Study",,Lighting,EGP 349.97,,,4.3,,,,,,,https://m.media-amazon.com/images/I/514e7w16T7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/514e7w16T7L._AC_UL320_.jpg,,,,,,,,,,,https://www.amazon.eg/dp/B0BW5YB76V,2026-03-28T17:19:37.006942
