platform,asin,title,brand,category,current_price,original_price,discount,rating,reviews_count,prime_eligible,amazon_choice,sponsored,main_image,product_url,scraped_at
amazon,,Set of 3 Round Faux Marble Nesting Tables – Modern Coffee & Side Tables with Realistic Marble-Look Top and Wooden Legs – Stylish Living Room Furniture for Home or Office,,Furniture,"EGP 1,170.00",,,5.0,,,,,https://m.media-amazon.com/images/I/61VYTWBBh4L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FKGV84P2,2026-03-28T13:32:08.862321
amazon,,"Generic Living Room Furniture Set, 195x90cm Sofa, 150x90cm Sofa, 2 Chairs, 7 Cushions, Cream .Br",,Furniture,"EGP 1,200.00",,,1.0,,,,,https://m.media-amazon.com/images/I/51b0hGfldbL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FMNT72MT,2026-03-28T13:32:08.862970
amazon,,"Durham 4 Cube Bookcase, Black Storage Organizer for Living Room or Home Office, Modern Bookshelf Furniture, Versatile Display and Organization Unit, Sturdy Wood",,Furniture,EGP 540.00,EGP 600.00,,,Was:,,,,https://m.media-amazon.com/images/I/71ZuPexJDHL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FPD56VZ5,2026-03-28T13:32:08.863589
amazon,,"Vida Designs Durham Cube Bookcase Storage Organiser Living Room Bookshelf Home Office Furniture (9 Cube, Oak)",,Furniture,"EGP 1,468.00",,,3.9,,,,,https://m.media-amazon.com/images/I/81Js8e5vtNL._AC_UL320_.jpg,https://www.amazon.eg/dp/B09SLXXCYL,2026-03-28T13:32:08.864262
amazon,,"Artiss Chest of Drawers 6 Drawer White Tallboy, Dresser Clothes Storage Cabinet Organizer Lowboy Bedside Table Bedroom Furniture Home Living Room Hallway Entryway",,Furniture,"EGP 4,987.00",,,3.6,,,,,https://m.media-amazon.com/images/I/619P2MxFwbL._AC_UL320_.jpg,https://www.amazon.eg/dp/B076P14TNT,2026-03-28T13:32:08.864858
amazon,,"3 Shelf Wooden Bookcase, Modern Shelving Display and Storage Shelf Unit, Versatile Wood Bookshelf for Living Room, Bedroom, or Office, Freestanding (White)",,Furniture,EGP 450.00,,,3.0,,,,,https://m.media-amazon.com/images/I/41G4m51mHJL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FPD5D5LT,2026-03-28T13:32:08.865395
amazon,,"DecorNation Akiwa Solid Wood TV Unit Table - One Compartment with with 2 Drawers and Shelf for Living Room, Bedroom, Office Furniture Stand (63 x 14 x 16 inches, Natural Finish)",,Furniture,"EGP 3,522.00",,,4.1,,,,,https://m.media-amazon.com/images/I/610FjEv85+L._AC_UL320_.jpg,https://www.amazon.eg/dp/B09RMKTXL5,2026-03-28T13:32:08.865930
amazon,,"Wooden Side Table 3-Piece Set, 40 cm Depth x 45 cm Width x 55 cm Height, White",,Furniture,"EGP 1,549.00",,,1.6,,,,,https://m.media-amazon.com/images/I/61ivKCvLLML._AC_UL320_.jpg,https://www.amazon.eg/dp/B0D5WP4WZV,2026-03-28T13:32:08.866461
amazon,,Wooden Side Table for Bedroom & Living Room – Bedside Stand | Small Coffee & End Table | Sofa Side Shelf | Corner Stand | Modern Bedside Organizer | Living Room Furniture | Home Decor,,Furniture,EGP 599.00,EGP 920.00,,2.9,Was:,,,,https://m.media-amazon.com/images/I/614cFXrcyWL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0F6K146DT,2026-03-28T13:32:08.867115
amazon,,"TV Table Entertainment Center in White, MultifunctionaLTV Desk and PracticaLMedia Console for the Living Room, stylish and Elegant Home Furniture for Your Viewing Area",,Furniture,EGP 655.00,,,1.7,,,,,https://m.media-amazon.com/images/I/61poNr7h7DL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FNLP5Y33,2026-03-28T13:32:08.867667
amazon,,"Vida Designs Cambridge 3 Tier Low Bookcase, White Wooden Shelving Display Storage Unit Office Living Room Furniture",,Furniture,EGP 675.00,,,4.2,,,,,https://m.media-amazon.com/images/I/519FQ1ULxnL._AC_UL320_.jpg,https://www.amazon.eg/dp/B07932SHST,2026-03-28T13:32:08.868212
amazon,,"Oxford 3 Tier Cube Bookcase, Black Wooden Shelving Display Unit, Modern Vertical Storage Organizer for Home Office, Living Room, or Bedroom Furniture, Tall Design",,Furniture,EGP 450.00,EGP 500.00,,,Was:,,,,https://m.media-amazon.com/images/I/51F2lqL1yUL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FPD5LTL8,2026-03-28T13:32:08.868796
amazon,,"Modern Table, 80 cm Compact Desk or Console Table in Brown, Versatile and Stylish Furniture for Home Office, Living Room, or Hallway, Minimalist Wooden Design, Sturdy",,Furniture,EGP 950.00,,,,,,,,https://m.media-amazon.com/images/I/51QVmtzbMrL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FNLNLBG6,2026-03-28T13:32:08.869235
amazon,,ANJ HOME Single Recliner Chairs for Living Room Overstuffed Breathable Fabric Reclining Chair Manual Sofas (Gray),,Furniture,"EGP 11,333.00","EGP 13,537.00",,3.9,List:,,,,https://m.media-amazon.com/images/I/61RcS5HgceL._AC_UL320_.jpg,https://www.amazon.eg/dp/B08KFY22Z3,2026-03-28T13:32:08.869862
amazon,,HOMCOM 2 Door 4 Shelves Tall Bookcase Modern Storage Cupboard Display Unit for Living Room Study Bedroom Home Office Furniture White and Oak,,Furniture,,,,4.2,,,,,https://m.media-amazon.com/images/I/61ueznqK-ML._AC_UL320_.jpg,https://www.amazon.eg/dp/B09GB3F2V6,2026-03-28T13:32:08.870613
amazon,,"Vicosim Wooden Shoe Shelf, Storage Closet/Drawer Cabinet and Layers Unit, Bookshelf/Shoe Shelving Organizer, White Furniture for Home, Hallway, Bedroom, Corner, White",,Furniture,"EGP 3,241.00",,,3.9,,,,,https://m.media-amazon.com/images/I/51XhtkDU7uL._AC_UL320_.jpg,https://www.amazon.eg/dp/B096XHYGBL,2026-03-28T13:32:08.871192
amazon,,"Wooden Coffee Table, 90 cm x 50 cm x 35 cm Size, Barok",,Furniture,,,,1.9,,,,,https://m.media-amazon.com/images/I/71uSfvFbA8L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0D5WMD4X3,2026-03-28T13:32:08.871709
amazon,,Furnifry Modern Square Center Table with Open Storage Shelf/Wooden Coffee Table for Home/Sturdy & Stylish Furniture for Living Area/Wooden Coffee & Sofa Table (Walnut),,Furniture,EGP 849.00,,,2.6,,,,,https://m.media-amazon.com/images/I/6164H4DCA0L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0BQ3HZYQ2,2026-03-28T13:32:08.872217
amazon,,Furniture Cafe Set top Box Stand | WiFi Router Holder Wooden Wall Shelves | Setup Box Stand for Home | Wall Mount Stylish WiFi Router Holder TV Cabinet Living Room Furniture (Color-White),,Furniture,"EGP 1,334.00",,,4.0,,,,,https://m.media-amazon.com/images/I/71-cykv7t6L._AC_UL320_.jpg,https://www.amazon.eg/dp/B08YJQMPXF,2026-03-28T13:32:08.872882
amazon,,Bedside Tables Solid Wood Legs 2 Pcs Brown Oak 40 x 30 x 50 cm Bedroom Furniture Two Drawers Sturdy Shelf for Displaying Decorative Objects Photos and Plants in Pots Books,,Furniture,"EGP 1,885.00",,,2.9,,,,,https://m.media-amazon.com/images/I/6158AIs8NIL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0BTM713HX,2026-03-28T13:32:08.873472
amazon,,"2x1 Convertible Pouf for Table, Green Round Stool with Wooden Legs, Elegant Home Furniture for Hall, Living Room, Bedroom Made of Red Obligation Wood and Waterproof Treated Fabric",,Furniture,"EGP 2,000.00","EGP 2,200.00",,5.0,List:,,,,https://m.media-amazon.com/images/I/713rre0IWbL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0G2TT95NG,2026-03-28T13:32:08.874096
